application,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,4_1,4_2,4_3,4_4,5_1,5_2,5_3,5_4,6_1,6_2,6_3,6_4,7_1,7_2,7_3,7_4,8_1,8_2,8_3,8_4,Aggregate
ONOS fwd,41.1,65.5,68.1,7.39,20.3,12.7,31.3,36,62.6,50.2,70.4,15,395,93.9,299,163,44.3,5.79,133,34.1,51.7,44.3,114,44.3,167,147,140,77.6,170,77.4,95.5,77,2854.48
ONOS fwd,54.7,55.2,68.7,20.5,79.3,25.4,70,6.25,71.5,12.1,123,27.2,338,101,308,207,71.8,32.6,58.4,26.6,45.5,20,50.2,34,201,111,82.3,128,92.5,72.5,193,73.4,2860.65
ONOS fwd,65.5,65.8,62.3,23.7,6.42,33.7,56.6,47.3,37.9,54.8,75.1,60.2,412,103,335,103,45.5,5.87,75.3,64.7,33.1,8.58,73.1,56.7,185,82.7,166,81.4,167,80.2,109,81.3,2857.77
ONOS fwd,75.4,25.6,80.3,40,12.6,6.65,69.3,37.8,74.5,9.53,85.9,27.2,292,214,305,142,75,7.09,80.7,23,74.3,5.94,80.8,60.5,157,73.9,128,73.7,193,73.7,123,131,2858.41
ONOS fwd,75.6,27.2,77.5,11.2,6.91,62.1,76.5,18.5,71.7,58.1,62.8,27.3,423,115,294,121,72.2,11.6,71.8,6.41,75.1,6.74,76,56.3,141,191,208,78.7,87,77.9,86.8,82,2856.96
ONOS fwd,122,41.6,42.9,6.6,41.9,24.1,75.3,31.2,75.2,58.1,40.8,64.8,371,194,286,104,69.4,5.99,70.3,6.16,73.7,5.96,56.7,40.3,101,84.9,274,117,101,82.9,108,84.3,2861.11
ONOS fwd,50.2,27.8,76.1,11,33.8,50.5,74.5,14.8,66,48.5,57.6,64.8,305,175,280,193,53.7,6.01,70.9,6.02,42.1,6.08,183,7.82,90.4,86.1,111,86.1,312,82.9,99.8,84.2,2856.73
ONOS fwd,79.5,26.2,65.2,61.9,6.56,45.8,68.4,59.5,73.1,54.1,99.6,6.85,416,126,307,103,71.3,28.6,72,7.05,43.1,5.97,66.1,11,89.1,95.2,93.1,119,175,122,181,78,2856.23
ONOS fwd,55.8,19.2,74,29.8,7.83,71.5,68.5,38.6,41.4,71.2,70.1,70.6,317,155,369,112,78.5,6.43,75.1,6.41,77.7,6.45,67.6,15.5,101,99.2,136,84.8,273,84.2,93,81.4,2857.82
ONOS fwd,78.3,113,106,8.88,11.5,19.8,71.6,42.9,71.6,25.2,45.4,68.5,439,146,260,107,78.3,6.61,71,6.63,47.2,6.63,66.5,7,93.3,90,98.3,79.9,133,149,234,74.2,2856.25
ONOS fwd,82,70.1,78.5,17.3,60.4,20.6,78.7,38.9,46.2,18.3,75.7,24.7,399,104,344,106,80.8,6.38,67,6.59,80.3,6.58,71.5,20.8,103,83.1,122,261,102,83.1,115,83,2856.55
