application,1_1,1_2,1_3,1_4,2_1,2_2,2_3,2_4,3_1,3_2,3_3,3_4,4_1,4_2,4_3,4_4,5_1,5_2,5_3,5_4,6_1,6_2,6_3,6_4,7_1,7_2,7_3,7_4,8_1,8_2,8_3,8_4,Aggregate
ONOS fwd,65.6,48.6,70.1,57.3,67.7,6.67,39.7,65.9,69.2,48.4,69.9,42.2,322,159,369,102,23.2,26.6,64.4,8.75,22.1,42.4,58.6,53.9,173,74.8,196,75.3,208,72.5,84.1,66.8,2853.72
ONOS fwd,49.4,38.2,74.7,23.1,71.7,36.4,75,26.7,79.1,6.23,66.9,42.2,242,130,401,179,76.1,27.6,41.3,17.8,89.5,9.01,74.6,25.7,126,92.8,106,92.8,218,92.2,112,111,2854.04
ONOS fwd,228,23.3,71.6,19.3,45.8,6.69,41.8,21,71.1,10.4,66.3,22,308,101,246,298,66.6,13.2,74.4,18.1,29.5,25.2,73.7,22.9,102,92.8,266,92.6,102,92.4,111,92.2,2854.89
ONOS fwd,75.6,36.3,62.8,26.1,70.7,6.57,65.1,28.2,73.9,44.8,65.4,33.9,387,180,285,99.6,44.9,14.2,57.6,46.8,75.1,17.5,71.1,32.8,99,138,210,83.1,124,83.4,133,79.6,2851.07
ONOS fwd,77.2,29.8,71.1,68.2,34.7,28.9,93.8,9.21,47.4,36.1,62.3,57.7,275,88.1,303,286,77.1,10.3,73.1,9.51,76.4,7.75,73.5,7.29,129,78.9,95.6,78.6,235,79.1,180,75.1,2854.76
ONOS fwd,9.94,37.2,75.4,25.7,53.9,44.3,73.5,44.4,63.2,14.2,72.9,8.93,463,176,214,99.5,69.3,7.51,113,33.9,38.2,31,83,52.5,92.7,105,182,89.4,162,90.7,139,90.8,2856.08
ONOS fwd,77,19.6,50,62.5,45.8,20.2,71.9,16.8,106,34,55.7,132,283,159,327,182,15,18.9,66.8,13.3,49.1,15,71.9,8.81,276,51.3,124,74.1,99.6,67.3,183,74.9,2851.51
ONOS fwd,44.3,11.2,34.8,45,178,35.7,67.1,7.09,75.5,27.8,67.4,61.5,255,226,375,96.3,64.4,19,66.3,12.7,38.2,7.67,59.3,25.5,116,74.5,148,83.5,178,131,134,84.9,2850.66
ONOS fwd,38.5,26.2,67.2,9.16,66.2,7.02,65.3,18.2,71.5,65.5,54,34.1,310,211,340,89.3,51.7,55.8,69.2,65.1,67.8,18.3,54.9,43.1,161,74.2,90,77.4,183,77.2,209,78,2848.88
ONOS fwd,62.8,33.6,65,15.6,63.3,57.3,71.5,34.9,41.4,10.4,70.1,8.05,397,97.1,233,224,65.8,7.17,58.8,30.7,67.5,67.5,65.3,52.6,95.4,77.8,212,77.9,158,77.8,175,77.4,2851.72
ONOS fwd,75.9,38.9,74.2,9.27,41.6,15.5,73.6,28.3,78.3,28.2,31.9,45.1,353,115,376,108,77,38,44.5,41.4,70.7,25.8,72.4,40.3,161,83.3,127,159,93.5,90.3,153,83.8,2853.77
ONOS fwd,76.8,32.4,45.7,31.5,56.3,19.6,40.6,30.7,73.4,39.6,24.8,8.82,427,101,321,102,48.1,21.6,48.5,30.5,74.1,205,25,16.5,96.7,70.9,276,81.6,97,82.4,169,76.3,2850.42
ONOS fwd,78.7,42,76.8,12.2,78.6,15.8,76.1,29,70.6,19.8,81,44,301,92.4,259,299,78.3,52,48.2,11.3,64.9,8.23,51,11.8,113,76.5,245,78.5,167,79.1,113,78.7,2852.53
ONOS fwd,75.5,35.6,60.8,10.3,62.8,24.8,54.6,67.5,67,42.6,67.1,11.2,264,93.9,420,173,70.9,28,41.6,26.7,72.8,69.4,30.8,30.3,173,83.4,187,83.9,164,85.7,89.5,83.9,2851.6
ONOS fwd,65.6,14.5,75.2,8.75,150,36.4,60.5,37.1,73.4,7.63,83.8,30.5,249,207,394,103,60.1,10.1,51.7,35,48.4,9.09,66.6,27.1,143,94.3,111,101,163,134,110,95.2,2855.97
ONOS fwd,78,19.4,75,10.9,76.9,64.3,77,33.3,77.7,8.55,76.6,14.5,283,200,367,101,56.7,7.09,69.1,29,78.5,7.77,75.9,13.9,195,98.8,102,91.6,106,156,108,93,2851.51
ONOS fwd,17.4,57.5,75.2,33.1,50.1,62.7,72.8,14.1,69.8,14,69.2,9.65,327,153,303,170,67.8,19.6,47.3,52.5,59.7,64.8,71.4,22.4,191,71.2,227,66.3,169,72.1,86.9,68,2855.55
ONOS fwd,65.7,143,51.7,31.3,36.8,7.08,69.9,9.56,55.2,53.6,68.9,5.58,344,85.7,337,187,70.5,8.54,71.1,6.85,68.4,22.1,67.1,38.2,190,73.6,108,112,122,63.1,179,104,2856.51
ONOS fwd,65.8,13.8,73.8,6.31,54.2,61.4,87.1,53.2,52.4,6.67,62.4,59.4,499,131,214,108,35.7,27.1,70.9,6.86,67,58.7,74.3,11.6,98,74.4,216,78,78.4,78,152,175,2850.44
ONOS fwd,153,58,66.1,7.53,61.8,6.86,35.1,31,51.9,69,24.2,66.1,272,122,463,95.7,63.9,52.8,47.6,10,48.8,24.7,59.1,14.7,193,113,122,93.1,109,93,135,93.1,2856.09
ONOS fwd,140,10.1,74.9,16.2,69.8,73.5,61.9,68.3,62.9,8.78,73.4,17.9,383,170,296,101,37,10.5,9.51,38.5,62.3,8.21,96.8,9.05,107,93.1,160,127,89.5,102,178,93.4,2849.55
ONOS fwd,73.4,48.9,75.1,24.4,62.7,58.4,61.9,10.6,72.9,59.1,73.5,7.29,355,117,380,101,73.1,12.1,44.3,31,51.9,12.1,70.8,28.7,90.9,85.3,156,86,173,86.1,90.6,185,2858.09
ONOS fwd,52.4,31.2,60,22.5,69.6,52.7,65,33.3,72.7,43.8,14.7,71.7,224,96.9,532,99.6,71.3,9.68,69.2,10.2,68.5,55,50.7,26.6,113,88,84.5,84.1,280,138,75.5,88.1,2854.48
ONOS fwd,70.9,61.4,71,44.1,65.7,29,53.9,20.9,56.9,9.72,66,47.1,372,89.6,270,220,70.1,21,58.8,11.8,67.9,52.5,60.4,11.9,93.4,116,222,68.4,154,73.6,149,74.9,2853.92
ONOS fwd,70.8,23.5,46.1,6.82,66.3,28.4,44.4,22.6,59.2,17.7,67,133,358,111,382,100,30.6,66.8,71.1,51.1,41.1,67.1,30.6,6.55,226,78.6,153,78.8,99.5,78.1,156,80.2,2851.97
ONOS fwd,30.9,6.44,62.7,11,74.3,67.7,153,6.15,58.1,27.4,42.3,16,390,132,262,169,63.6,8.81,76.5,27.8,74.8,12.8,63.8,67.8,104,78.6,104,150,158,84.9,188,84.7,2857.1
ONOS fwd,78,33.7,66.1,8.23,74.1,18.2,80.7,19.8,73.3,51.6,71,6.59,391,174,284,103,71.9,23.2,78.8,14.4,60.2,18.8,81,20.3,107,195,99.2,80.8,96,80.5,191,102,2853.42
ONOS fwd,76.2,20.6,34.2,70.7,55,43.6,69.2,16,44.2,15.8,68.8,46.6,383,172,287,109,111,24.9,39.1,14.9,73.7,10.6,48,66.3,103,87.1,309,89.1,103,74.1,96.6,88.2,2850.5
ONOS fwd,38.4,30.2,56.5,58.4,9.6,12.3,7.83,17.2,14.6,34.5,57.8,63,240,137,427,147,33,33.5,17.5,7.45,399,8.12,15.8,35.6,138,80.3,99.3,79,79.3,127,269,78.6,2851.8
ONOS fwd,67.7,53.5,78,27,71.1,52.2,68.8,15.4,6.36,37.8,72.7,7.95,284,166,389,114,60.3,22.7,80.1,10.3,71.8,28,45.9,72.5,92,86,113,86.3,300,85.5,103,86.2,2855.11
ONOS fwd,78.4,65.5,61.2,8.44,54,8.29,68.1,28.9,72.7,54.7,76,53.9,338,112,320,182,66.1,21.3,71,7.43,29.3,14.7,76.7,33.4,219,86.4,98.5,91.7,94.6,90.6,179,90.9,2852.76
ONOS fwd,88.4,20.3,74.2,52.4,36.7,9.99,67,36.9,56.7,35.7,80.6,10.3,423,105,321,104,51.4,20.5,99.8,11,51.5,9.84,81.4,57.1,87.1,206,117,90,159,90.2,110,92.2,2856.23
ONOS fwd,8.8,24.5,59.8,7.18,44.7,19.1,35,55.8,31.3,22.3,121,111,276,190,336,148,21.5,11.2,34.6,32.4,223,21.3,48.3,17.3,180,53.1,138,76.5,165,87.2,178,72.8,2850.68
ONOS fwd,62.1,45.7,69.9,32.3,72.4,15.9,75.5,7.45,39.1,38,72.2,131,304,142,372,134,57.1,21,58.3,7.49,46,13.2,68.2,18.9,144,87.1,110,84,228,86.7,127,86.5,2857.04
ONOS fwd,62.8,34.7,82.3,16.6,56.4,17.5,64.9,51.8,70.5,36.7,8.94,17.1,247,146,372,186,62.5,18.1,119,25.7,48.4,19.9,129,6.95,267,82.1,79.5,122,137,83.3,95.6,83.6,2850.89
ONOS fwd,8.63,61.1,61.9,28.4,59.5,58.3,45.1,67,77.6,56.2,55.7,20.7,262,119,421,149,51.8,35.6,25.8,41.9,138,17.3,24.1,15.4,197,74.1,90,73.6,156,64.2,227,67.9,2850.83
ONOS fwd,73,8.02,77.5,31,49.6,38.9,77,68.4,63.6,27.3,68.5,48.1,286,172,342,151,73.4,6.49,42.5,17,63.8,15.4,78.1,23.5,253,77.3,92,77.9,89.6,110,174,77.4,2853.31
ONOS fwd,74.8,6.33,40.4,6.3,61.4,67,66.1,6.74,70.6,15.8,66.4,8.38,245,244,278,186,63.7,6.53,72,26.4,60.4,51.2,163,18.3,85.8,77.2,174,77.3,292,76.4,92.7,76.6,2856.78
ONOS fwd,64,22.4,69.4,55.4,68.7,56.2,50.6,22.6,71.1,63.4,70,8.22,310,148,391,103,60.1,23.8,53.1,10.7,72.9,26.3,70.3,11.2,207,97.2,90.1,99.6,96.6,84.1,157,119,2853.02
ONOS fwd,72.1,7.26,76.9,20.5,55.1,72.5,77.2,38.6,40.1,16.1,69.5,40.9,281,131,401,140,9.04,7.41,75.5,29.6,72.9,18.4,78.5,72.7,302,78.9,86.7,97.9,120,90.8,86.8,88.9,2855.81
ONOS fwd,76.2,6.71,95.1,13.2,53.4,25.3,71.6,41.5,45.6,54.9,72.1,9.37,287,97.3,271,297,62.8,11.3,62.6,32.5,94.1,6.07,70.1,46.3,97.7,54.1,220,129,236,52.3,89.4,73.8,2855.35
ONOS fwd,72.2,67.7,72.8,23.5,62,14.8,74.4,6.59,58.6,29.5,30.2,15.4,347,109,337,160,40.4,38.6,74.3,21.8,125,31.9,69.5,22.4,148,131,98,84.8,99.6,109,196,86.1,2857.09
ONOS fwd,70.5,9.7,61,9.73,59.4,32.4,71.3,15.2,47.1,70.1,38.9,58.3,383,115,323,131,70,76.7,63,27.2,70.5,15.4,46.5,37.5,97.1,83.3,169,82.3,154,84.6,179,102,2853.73
ONOS fwd,74.7,17.5,65.6,18.5,121,32.2,51,24.8,66.8,30.8,64.7,39.9,317,233,246,157,66.7,13.7,75,13,72.5,25.2,67.9,10.4,132,84.9,207,80.3,102,85.2,176,85.5,2857.8
ONOS ifwd,9.57,51.1,16.2,8.68,72.8,7.09,42.9,28.6,118,21.9,139,21.8,302,155,423,77.5,59.1,49.5,26.3,29.2,47.7,12.1,162,32.7,235,19.5,75.5,67.8,109,172,73.5,203,2869.04
ONOS ifwd,75.7,32.1,65.2,72.5,63.6,55.3,72.3,7.08,39.9,18.7,61.8,16.3,418,121,308,106,37.1,11.6,73.4,12.7,69.8,41.3,72.6,53.9,98.8,93,195,122,151,94.6,104,93.8,2858.08
ONOS ifwd,62,55.7,64.4,23.7,95.3,27.6,39.3,5.76,137,54.8,64.7,49.7,262,127,367,197,55.2,12.6,14.6,9.01,53.6,9.24,56.7,63.3,89.9,80,194,82.2,199,78.8,153,75.6,2859.71
ONOS ifwd,108,64.6,63.8,16.1,48.9,16.1,69.3,26.2,27.5,22.4,62.1,40.3,463,93.2,304,93.7,71.6,16.6,78.4,7.82,54.8,29.3,77.4,53.2,93,74.5,184,93.8,88.9,90.2,114,215,2861.72
ONOS ifwd,77.8,7.82,72,59.2,24.7,52.3,70.5,48.9,76.3,12.8,58.3,68,273,126,417,137,71.3,40.4,39.8,8.38,75.7,9.19,72.1,7.66,101,81.1,130,81.8,253,78.6,93.8,134,2859.45
ONOS ifwd,73,58.9,88.5,26.7,74,30.3,66.1,17.8,60.6,11.8,76.5,18.6,289,192,254,219,65.1,7.32,66,21.9,65.5,18.5,98.9,7,227,81.7,131,81.3,99.8,77.7,172,81.4,2858.92
ONOS ifwd,73.1,10.2,220,11.6,9.8,55.6,61.4,58.3,47.8,16.9,47.2,26.4,454,97.3,224,177,60.9,27.5,58.2,6.82,75.3,27.5,7.37,51.9,98.7,166,234,82.4,134,82.5,101,55,2859.69
ONOS ifwd,74.3,24.4,72.1,36.1,70,14.4,67.9,20.1,19.1,20.5,73.5,37.9,260,330,273,92.3,74.7,19.5,13.9,22.2,154,16.4,116,6.72,193,78.8,232,79.1,109,77.8,107,77.6,2863.32
ONOS ifwd,71.3,69.6,29.8,43.6,69.8,6.76,9.19,28.6,159,8.3,49.2,28.5,292,169,376,116,76.3,28.1,26.3,8.13,69.2,38.3,68.6,64,92.3,85,168,88.6,123,84.3,226,85.8,2858.58
ONOS ifwd,12.3,26.6,64.1,62.7,39.9,13,77.4,24.8,73.9,43.7,13.1,131,305,96.9,386,167,73.4,26.2,67.6,15.9,70.9,33.8,77.3,6.47,246,76.6,102,72.9,134,79.2,166,77.4,2863.07
